group_id,post_id,comment_id,text,likes
162413784,1411019,1411020,Разве уже не отменили?,4
162413784,1411019,1411021,жесть(,0
162413784,1411019,1411029,☹️,0
162413784,1411000,1411010,"ОГО УЖЕ МИЛЛИАРД ТАК СКОРО 
Только ведь недавно вышло о_о",37
162413784,1411000,1411007,"ух ты, поздравляю☺ 🤝",4
162413784,1411000,1411028,"жаль, что после такого, победу розэ считают странной :(
пс: я обожаю супернову и апт, но результаты на лицо",0
162413784,1411000,1411036,"У Сая же соло, это разные категории",0
162413784,1410994,1411008,"бантан не продвигаются как группа и всё равно на 6 месте, ну настоящие легенды 🤭💜✨",12
162413784,1410994,1411003,Бантаны!💜,6
162413784,1410994,1410998,БП и Бэнги🤩👑,3
162413784,1410994,1411001,Hyun Bin неожиданно залетел в список. Вроде не было новых драмм с ним.,0
162413784,1410981,1410991,"Работать с Усоком захотелось еще сильнее. «Окей Гугл, Как устроиться в Varo Entertainment без знания корейского»",67
162413784,1410981,1410987,Какой молодец 🥺🥺💛💛💛,5
162413784,1410981,1411034,"Это ж сколько вон стоит айфон, что его можно было купить стольким людям",3
162413784,1410981,1411016,А можно мне в это агенство,1
162413784,1410981,1411013,,0
162413784,1410850,1410861,арми🤝выводить старые песни бтс на 1 место,134
162413784,1410850,1410872,"Арми такие: сюрпрайз, беатч🤌
Блю сайд моя особенная любовь. Слушая песню, я как будто очень хорошо понимаю Хо и становлюсь ближе к нему. Спасибо ему, что решил выпустить полную версию💙",71
162413784,1410850,1410854,Congratulations King👑💜,49
162413784,1410850,1410874,"Рада, что об этом шедевре помнят, потому что лично для меня это моя одна из самых любимых песен во всей дискографии 🫶🏼🩵
Эта песня действительно многое значит для меня и занимает особое место в моём сердце. 
А вообще я влюблена в это видео. Кажется, что ты прям погружаешься в глубину океана, и ощущение присутствия в этой самой воде, как будто ты там, среди мифических рыб и русалок. 

Blue side в урбанском диалекте означает неразделённое чувство любви. А само слово blue ещё можно интерпретировать не только как «синий», но и как «грусть». И отрывок из песни можно перевести, как «грустно, что юности больше нет». Так красиво, так шикарно, так эстетично и атмосферно🌊💙",40
162413784,1410850,1410873,Вот за это я и люблю фандом арми 🔥🔥 просто лучшие 💜💜💜,39
162413784,1410793,1410798,"ура, снова великолепный голос Юнджин🛐✨",31
162413784,1410793,1410824,"У нее столько коллабов и соло выходит, которые она еще и сама пишет… соло-королева",30
162413784,1410793,1410845,"Медузы в крэйзи были не просто так)) 
Юджин мега талантливая 💗",10
162413784,1410793,1410820,"Я слишком люблю эстетику медуз
И очень люблю голос Юджин
Это комбо🫂",5
162413784,1410793,1410868,"Очень рада, что она продолжает выпускать новую музыку🩵Может как-нибудь компания и на полноценный сольник расщедрится",0
162413784,1410783,1410865,Как трогательно 😭😭😭,38
162413784,1410783,1410800,,20
162413784,1410783,1410867,Скучаю по их паре🥹🥹,17
162413784,1410783,1410863,,2
162413784,1410783,1410985,НУ НАШИ😭💔💔💔,1
162413784,1410721,1410737,Хангёль? Господи когда этому парню уже повезет? Ни одного наверное нет кто прошел бы столько шоу на выживание,56
162413784,1410721,1410740,"Да уж, оставить в пролете Хон Сон Мина, Мин Джэ, Лин Ци и взять Ши Хуана, Син Че и Да Ыля, китайцы просто без слов конечно (ладно одно бревно, но чтобы 3). Ну прям солянка группа получилось, по мне так выглядит так себе. А я ещё жаловалась на состав Project 7. Вот и смотри после этого шоу на выживания, основной аудиторией которой является Китай. Просто хочется пожелать удачи ребятам из Fantasy Boys и Bae173, какие же там все таки талантливые ребята)",17
162413784,1410721,1410729,"ДЖУНХЕК, БОЖЕ!!! Ты заслужил счастья после Мирэ ❤️",13
162413784,1410721,1410877,"Бедный Хангель... у меня до сих пор травма после Х1, надеюсь в этот раз ему повезет намного больше, но снова группа на шоу выживание...боже",11
162413784,1410721,1410810,"ХАНГЁЛЬ 😭😭😭😭😭
Я чуть не заплакала, когда увидела его имя в списке. Пожалуйста, будь группа успешна, Хангёли заслужил 😭😭😭😭😭",10
162413784,1410670,1410682,"Не одобряю, но и не сочувствую.",250
162413784,1410670,1410726,"Фанаты нд с синдромом жертвы,плохое поведение своих они сразу назвали хайбстенами😅хватит уже винить во всем других",208
162413784,1410670,1410674,"А ведь аэропорты предлагали открыть отдельный вход для знаменитостей. Но нетезенам это не понравилось, а такая хорошая идея была!🤷‍♀️ Нетезены писали, что это их оскорбляет, ведь знаменитости получают привилегии, хотя открытие отдельного входа и для обычных людей была бы польза, не было бы столкновений и тд
Ну пускай теперь мхд их защищает, если они говорят, что ушли от компании. Посмотрим что именно мхд сделает для защиты нд",198
162413784,1410670,1410671,"Ситуация с Ханни и Минджи показывает насколько важно уважать личное пространство айдолов. Они такие же люди, как и мы, и не заслуживают такого стресса. Если вы называете себя их поклонниками вы должны поддерживать и защищать их а не создавать опасные и неприятные ситуации. Надеюсь родители примет меры для обеспечения их безопасности в будущем.",142
162413784,1410670,1410684,"Что за чушь тут распространяют? Видео с аэропорта для всех находится в доступе, девочек ругали, что они подарки не берут, когда на них толпа нахлынула 😳 там даже не было, чтобы ханни куда-то выгоняли... кто тут свою фантазию распространяет...",105
33654179,2916708,2916709,это же буквально корейский шаман😭 даже штаны такие же,11
33654179,2916708,2916712,"не знаю, где они не видели такого ёнуна, когда ещё с танца под after like айв было понятно, какой он 💅🏻 просто жанр отличается",4
33654179,2916708,2916710,"Если бы военное положение не остановили, он бы даже не смог провести такой концерт... Он действительно живет в своем собственном пузыре.

никто б не смог бы. 😐 Он действительно живет в своем собственном пузыре. [вы как будто нет.  ]",3
33654179,2916708,2916721,"Комментарии писали мужики, пон))",3
33654179,2916708,2916734,Орнула с заголовка,0
33654179,2916627,2916632,"офигеть... я до сих пор слушаю ее японский альбом и stand up и не могу насладиться

жду ее возвращения 🤧",16
33654179,2916627,2916648,"вау, я так рада этой новости, один из любимых голосов соло-артистов🥰
буду рада послушать",4
33654179,2916627,2916653,Она еще в см?,0
33654179,2916627,2916724,"Я думала, что уже не дождусь ее новых песен. Так много лет прошло...",0
33654179,2916589,2916591,Было бы чудесно наконец увидеть его в еще одной дораме,24
33654179,2916589,2916594,"юнхо чудесный, очень надеюсь, что это окажется правдой",22
33654179,2916589,2916593,"Да, пожалуйста😭",6
33654179,2916589,2916628,Было бы замечательно! 👍 мы давно в ожидании Юно актёра!,5
33654179,2916589,2916592,Даёшь камбэк актерский 🥹,4
33654179,2916583,2916614,Страшные новости...,0
33654179,2916572,2916579,Лучше всего отменить мероприятие соболезную всем семьям погибших....,28
33654179,2916572,2916573,"Приношу свои соболезнования всем семьям и близким погибших! 

Я беспокоюсь насчет айдолов и других звёзд которые были на ааа. Они уже вернулись в Корею или улетели оттуда?",17
33654179,2916572,2916574,возможность переноса невозможна?,0
33654179,2916572,2916597,Ужасная катастрофа😔Приношу искренние соболезнования всем семьям погибших...,0
33654179,2916544,2916554,какой же хакен красавец 🥹,4
33654179,2916544,2916642,,0
33654179,2916544,2916738,Со Джи Соп просто краш 🥰 еще со времен Каина и Авеля,0
33654179,2916430,2916601,Почему Мина взяла best new actress? она же уже лет 5-6 снимается? Или это по-другому работает?,2
33654179,2916424,2916458,"Какая же прекрасная тенденция пошла, возвращение старых/распавшихся групп, даже если это разовые ""акции"" для фанатов это отличный подарок.",68
33654179,2916424,2916494,"весь к-поп воссоединяется ради фанатов, да думаю и деньги с хайпом не последнюю роль играют и только дбск даже на своё 20летие игнорируют существование друг друга, серьёзно, первый из них кто выпустит мемуары с почасовым описанием событий той ср@чки срубит денег",21
33654179,2916424,2916432,Ура это будет шикарно,6
33654179,2916424,2916447,"Очень понравилось выступление, и сама группа в целом!😍",4
33654179,2916424,2916433,,0
33654179,2916420,2916422,"Мне кажется я Лео из виду упустила немного... Просто знала что он в этом лейбле, но вообще он мимо меня шёл, по этому даже не знаю расстроится мне, или какую эмоцию выдать....",5
33654179,2916420,2916481,Интересно куда пойдет Лео в какую компанию,5
33654179,2916412,2916413,,2
33654179,2916412,2916467,Любимые ❤,0
33654179,2916412,2916732,урааа!!!!,0
33654179,2916341,2916365,Хангёль 💔 пусть ему наконец-то повезёт,30
33654179,2916341,2916343,"F4 😭 и Пентор. В группе есть кому петь, танцевать и читать рэп, спасибо за это ✨",24
33654179,2916341,2916342,"Ну 😂
6 самых талантливых трейни против 3 самых бесталанных. В принципе, баланс соблюден",13
33654179,2916341,2916385,Пхах этот чел вайбует богатеньким избалованным наследником из манхвы),11
